world,hour_utc,rel,bias_factor
Opulera,8,0.37041204426006746,2.699696231523986
Opulera,9,0.3623502864086096,2.7597604790419163
Opulera,10,0.34562642703590457,2.893297276414912
Opulera,11,0.40304501088219197,2.4811124638689424
Opulera,12,0.49279638951570914,2.02923564635435
Opulera,13,0.6421961999118743,1.5571565202927478
Opulera,14,0.8339631207188923,1.1990937910275705
Opulera,15,0.9181398795615079,1.0891586590025775
Opulera,16,0.9560472941396393,1.0459733594036416
Opulera,17,1.0023166384041233,0.997688716005142
Opulera,18,1.0530456785013287,0.9496264221160642
Opulera,19,1.1294179696366817,0.8854118022592524
Opulera,20,1.1511589868211982,0.8686897391657363
Opulera,21,1.1706701560893542,0.8542115768463073
Opulera,22,1.1766735927872483,0.8498533545154588
Opulera,23,1.2336633597265434,0.8105939048247832
Ourobra,0,1.8069074577380395,0.5534317741163352
Ourobra,1,1.7245088921209069,0.5798752355345287
Ourobra,2,1.4355967666516307,0.6965744303899405
Ourobra,3,1.078766158225973,0.9269849562619727
Ourobra,4,0.7345194311602542,1.3614343713418038
Ourobra,5,0.5007695253509831,1.99692662867037
Ourobra,6,0.34890103934953176,2.8661422214858816
Ourobra,7,0.2944283474352768,3.3964120938450963
Ourobra,8,0.2379931534754255,4.201801545115697
Ourobra,9,0.3819983711455347,2.617812209515986
Ourobra,10,0.4957704491942951,2.0170625369566846
Ourobra,11,0.6657390385216856,1.5020900715399856
Ourobra,12,0.8582896615223906,1.1651078241187838
Ourobra,13,1.0418764238283447,0.9598067267186343
Ourobra,14,1.1458227315001666,0.8727353477188846
Ourobra,15,1.1139320732592264,0.8977208072249188
Ourobra,16,1.1263435726827276,0.8878285669249196
Ourobra,17,1.1615094877159806,0.8609486281222062
Ourobra,18,1.154269446385605,0.8663488435315749
Ourobra,19,1.120827350716727,0.8921980707916679
Ourobra,20,1.159268522542293,0.8626129154330744
Ourobra,21,1.2790739683663666,0.781815614054909
Ourobra,22,1.456547802003267,0.6865548790260417
Ourobra,23,1.6545218259272756,0.6044042359124219
Pacera,0,1.5182873427399737,0.6586368547309052
Pacera,1,1.5844512407034128,0.6311333377201641
Pacera,2,1.5318849358051416,0.6527905436150863
Pacera,3,1.3411869842814446,0.7456081901478941
Pacera,4,1.1564587077619677,0.8647087814620258
Pacera,5,0.933756665243424,1.0709428239950574
Pacera,6,0.676728991450615,1.4776964082127342
Pacera,7,0.49415643090488437,2.0236506852067677
Pacera,8,0.33269458004288055,3.0057598169201056
Pacera,9,0.4021239412564915,2.4867954812025435
Pacera,10,0.4598307996306189,2.1747129613834
Pacera,11,0.5699381385973449,1.7545763869409854
Pacera,12,0.6921506518781836,1.4447721710388521
Pacera,13,0.8103833818228757,1.2339838432404682
Pacera,14,0.9039082902223238,1.106306923851801
Pacera,15,0.9536555819241578,1.0485965991855621
Pacera,16,1.0082117784905023,0.9918551055783171
Pacera,17,1.0649236910305933,0.9390344194824302
Pacera,18,1.1315850619110506,0.8837161550287468
Pacera,19,1.1723778411065544,0.8529673326614099
Pacera,20,1.1733727869405912,0.8522440703668976
Pacera,21,1.1902868661192147,0.8401336085143728
Pacera,22,1.3014911966465452,0.7683494153296042
Pacera,23,1.5700245261098809,0.6369327251706979
Peloria,0,0.5732161467023291,1.7445426228010628
Peloria,1,0.45233149715846377,2.21076800152538
Peloria,2,0.40569231322097243,2.4649222265528117
Peloria,3,0.389574359948457,2.566904044024627
Peloria,4,0.4252396182535975,2.3516153177515933
Peloria,5,0.49536986174784,2.0186936614828492
Peloria,6,0.6570637972370104,1.5219222306951856
Peloria,7,0.7517139058160369,1.3302933366842955
Peloria,8,0.7234877028674419,1.3821934996775211
Peloria,9,0.9744503026351591,1.0262196002153707
Peloria,10,1.0075435471202172,0.9925129319305569
Peloria,11,1.0072006119442063,0.9928508661940675
Peloria,12,1.0286340604448916,0.9721630251748545
Peloria,13,1.080245804434542,0.9257152361942781
Peloria,14,1.1625502466771738,0.860177874339816
Peloria,15,1.234738101227482,0.8098883471773298
Peloria,16,1.3400192002628484,0.746257963918612
Peloria,17,1.5204031028446165,0.6577203099158624
Peloria,18,1.6442027013845752,0.6081975167404267
Peloria,19,1.8122409376299484,0.5518030076661891
Peloria,20,1.7693740406285776,0.5651716239968942
Peloria,21,1.5591547777338557,0.641373142859777
Peloria,22,1.181068746181766,0.8466907648118397
Peloria,23,0.7976672194015063,1.2536556294118555
Penumbra,0,1.3896103896103895,0.7196261682242991
Penumbra,1,1.3311688311688312,0.751219512195122
Penumbra,2,1.2402597402597402,0.8062827225130891
Penumbra,3,0.935064935064935,1.0694444444444444
Penumbra,4,0.5909090909090909,1.6923076923076923
Penumbra,5,0.3831168831168831,2.610169491525424
Penumbra,6,0.26623376623376627,3.756097560975609
Penumbra,7,0.2792207792207792,3.5813953488372094
Penumbra,8,0.17482517482517484,5.72
Penumbra,9,0.4155844155844156,2.40625
Penumbra,10,0.7207792207792207,1.3873873873873874
Penumbra,11,0.7922077922077921,1.2622950819672132
Penumbra,12,1.0064935064935066,0.9935483870967742
Penumbra,13,1.2402597402597402,0.8062827225130891
Penumbra,14,1.2662337662337662,0.7897435897435898
Penumbra,15,1.1363636363636362,0.8800000000000001
Penumbra,16,1.1623376623376624,0.8603351955307261
Penumbra,17,1.2922077922077921,0.7738693467336684
Penumbra,18,1.2792207792207793,0.7817258883248731
Penumbra,19,1.3311688311688312,0.751219512195122
Penumbra,20,1.4025974025974026,0.7129629629629629
Penumbra,21,1.409090909090909,0.7096774193548387
Penumbra,22,1.3846153846153846,0.7222222222222222
Penumbra,23,1.538961038961039,0.6497890295358649
Premia,0,0.6078373068150167,1.645177070884085
Premia,1,0.5016072087263529,1.9935917638407399
Premia,2,0.4425206452924217,2.259781573217202
Premia,3,0.3997771738721309,2.5013934395360224
Premia,4,0.4057486882617304,2.4645797483267393
Premia,5,0.46106376892328305,2.168897379065999
Premia,6,0.5830083785635243,1.7152412156818437
Premia,7,0.6923813789625035,1.4442907195142172
Premia,8,0.738872156983555,1.3534141062812532
Premia,9,0.9830998426666867,1.017190682573472
Premia,10,1.0123288341526209,0.9878213148369513
Premia,11,1.0406149549454604,0.9609702371156207
Premia,12,1.0827298459036878,0.9235914238286852
Premia,13,1.0990729379173285,0.9098577223591137
Premia,14,1.245846475809062,0.8026671178329517
Premia,15,1.343590737659874,0.7442742585005429
Premia,16,1.4158774907971303,0.706275794692524
Premia,17,1.5573080947613278,0.6421336942663612
Premia,18,1.6132517558849435,0.6198660539820418
Premia,19,1.699995859649651,0.5882367267683158
Premia,20,1.674224060705064,0.5972916191270548
Premia,21,1.4667925082242415,0.6817596861130962
Premia,22,1.1179545279508392,0.8944907641574255
Premia,23,0.8042687012097351,1.2433655549393592
