horizon,target,fold,model,n_test,rmse,mae,r2_oos,dir_acc,dm_t_vs_rw,dm_p_vs_rw
7,ret,4,XGBoost,7125,0.022231041046171417,0.015674019163791804,0.11173362482071636,0.623578947368421,9.597629538391004,0.0
7,ret,4,LightGBM,7125,0.022365654198498126,0.01574573912016311,0.10094381491830695,0.6190877192982456,7.975203239554972,1.5543122344752192e-15
7,ret,5,RandomWalk,6531,0.023319589920218074,0.01669892325966988,0.0,0.0,,
7,ret,5,Naive,6531,0.09676216054688343,0.05895074944188076,-16.21746844960936,0.47205634665441737,-18.158067468962884,0.0
7,ret,5,MovingAvg,6531,0.02331611589224175,0.016695922144711398,0.00029792712626075524,0.5371306078701578,4.236646613005862,2.2688279399885047e-05
7,ret,5,Ridge,6531,0.02566036671703176,0.019369312137275486,-0.21083202598643624,0.5114071352013474,-9.249708657217687,0.0
7,ret,5,ElasticNet,6531,0.025140931629765537,0.01886638174973739,-0.1623071676426835,0.5190629306384933,-7.935951171496592,1.9984014443252818e-15
7,ret,5,RandomForest,6531,0.025162942732665887,0.018920066752577767,-0.16434327850799235,0.545858214668504,-6.9101146732066505,4.842570788810008e-12
7,ret,5,XGBoost,6531,0.024318507430146054,0.018275366680771215,-0.08750688319468947,0.5409585055887307,-4.237813018419895,2.2570761738283096e-05
7,ret,5,LightGBM,6531,0.024832038679610865,0.018617632412878612,-0.1339213543099067,0.5368243760526719,-6.129084688822044,8.83860762357358e-10
7,rel,0,RandomWalk,1357,0.020346724126718483,0.01574609562812846,0.0,0.0,,
7,rel,0,Naive,1357,0.10334439682772886,0.06614714388947185,-24.797930966026527,0.43257184966838613,-6.888147475469966,5.652367462971597e-12
7,rel,0,MovingAvg,1357,0.020346724126718483,0.01574609562812846,0.0,0.49594694178334564,1.0747716056697605,0.282476995894416
7,rel,0,Ridge,1357,0.02030397048508776,0.015823196138184132,0.00419809333708987,0.5453205600589536,0.22155896142955087,0.8246572324965047
7,rel,0,ElasticNet,1357,0.02021361942210627,0.01572541905764987,0.013040854140130231,0.5416359616801769,0.7593074065203201,0.44766868797747006
7,rel,0,RandomForest,1357,0.020061693634034455,0.015581234121112243,0.02782109220372464,0.5534266764922623,1.8519199916283606,0.06403731273519542
7,rel,0,XGBoost,1357,0.020400802354420922,0.015855960663283573,-0.005322733316476036,0.5438467207074429,-0.2973169238893814,0.7662245621307442
7,rel,0,LightGBM,1357,0.020425090122593012,0.01594649378114027,-0.007717892063041187,0.5327929255711128,-0.3986783592328047,0.6901302155107651
7,rel,1,RandomWalk,3504,0.018310418798077637,0.013811840671416734,0.0,0.0,,
7,rel,1,Naive,3504,,,,0.4300799086757991,-12.5364268246169,0.0
7,rel,1,MovingAvg,3504,0.018310418798077637,0.013811840671416734,0.0,0.4945776255707763,0.14694642169614902,0.8831743103898249
7,rel,1,Ridge,3504,0.04434173566851114,0.028546697739104482,-4.864470717410521,0.543093607305936,-25.103246107266795,0.0
7,rel,1,ElasticNet,3504,0.02391360631279107,0.018194294590464528,-0.705664439383652,0.571917808219178,-20.441968564340698,0.0
7,rel,1,RandomForest,3504,0.017478248405196496,0.01305103700508621,0.08883032074765729,0.6101598173515982,11.59274524430893,0.0
7,rel,1,XGBoost,3504,0.01764189777748254,0.013236937804619788,0.07168782290667597,0.5993150684931506,6.059552983137621,1.3650036656542852e-09
7,rel,1,LightGBM,3504,0.017661826538081835,0.013129859619689602,0.06958934569261621,0.6015981735159818,5.70566205213677,1.158917362076295e-08
7,rel,2,RandomWalk,3702,0.018540365402707672,0.014388798549701277,0.0,0.0,,
7,rel,2,Naive,3702,0.08371756100967934,0.05771052713450604,-19.38902959467666,0.44570502431118314,-19.674872671578083,0.0
7,rel,2,MovingAvg,3702,0.018540365402707672,0.014388798549701277,0.0,0.49081577525661807,-1.1750607704899172,0.23997040392696056
7,rel,2,Ridge,3702,0.01887752472290748,0.014831480643154394,-0.036700999054110284,0.5472717450027013,-2.451692575093357,0.014218608120460496
7,rel,2,ElasticNet,3702,0.018107137240894442,0.014119253110593156,0.04618750326874044,0.5737439222042139,4.096147640503791,4.2008208080313025e-05
7,rel,2,RandomForest,3702,0.01806143846033002,0.014038521632766813,0.05099589055166687,0.5891410048622366,4.039619629406231,5.3537955599036735e-05
7,rel,2,XGBoost,3702,0.018467934099181398,0.014352840749571003,0.007798100947568831,0.5815775256618044,0.49548758737728704,0.6202559817510442
7,rel,2,LightGBM,3702,0.01860270209963376,0.01449599610042746,-0.006735734734710119,0.57752566180443,-0.4276997446391778,0.6688697358283107
7,rel,3,RandomWalk,5977,0.01998973025777617,0.01379402188669337,0.0,0.0,,
7,rel,3,Naive,5977,,,,0.42211811945792205,-18.092836480309263,0.0
7,rel,3,MovingAvg,5977,0.01998973025777617,0.01379402188669337,0.0,0.5027605822318889,-0.40125447723703617,0.6882327757872768
7,rel,3,Ridge,5977,0.02051616781699854,0.014558808965840634,-0.05336435503797765,0.552785678433997,-3.618839260897808,0.00029592736655814633
7,rel,3,ElasticNet,5977,0.019951177753459604,0.01403526518420227,0.003853511512213803,0.5611510791366906,0.3010233366415909,0.7633966993124497
7,rel,3,RandomForest,5977,0.019514221062673514,0.013594338251117659,0.04700949538442334,0.5690145557972227,6.372867728846174,1.855258169314311e-10
