world,origin,h,actual,model,rw,snaive,is_sa,in80,in90
Descubra,2025-12-02,3m,38053.0,43057.383199397314,43218.5,42385.0,True,False,False
Descubra,2025-12-02,6m,37286.5,42968.49520994249,43218.5,42385.0,True,False,True
Descubra,2025-10-23,2w,41639.5,43137.59593488013,43148.5,42995.0,True,True,True
Descubra,2025-10-23,1m,43126.0,43078.90004839219,43148.5,42995.0,True,True,True
Descubra,2025-10-23,3m,39789.0,42880.78250434779,43148.5,42995.0,True,True,True
Descubra,2025-10-23,6m,36947.0,42539.08684523114,43148.5,42995.0,True,False,True
Descubra,2025-09-13,2w,40525.5,39180.22195317493,39240.0,38359.0,True,False,True
Descubra,2025-09-13,1m,41914.5,39139.30017823522,39240.0,38359.0,True,False,False
Descubra,2025-09-13,3m,42078.0,38684.0211670424,39240.0,38359.0,True,True,True
Descubra,2025-09-13,6m,38223.0,38109.08983381017,39240.0,38359.0,True,True,True
Descubra,2025-08-04,2w,38602.5,38060.023229785525,38103.5,37725.5,True,True,True
Descubra,2025-08-04,1m,37566.5,37942.02045025022,38103.5,37725.5,True,True,True
Descubra,2025-08-04,3m,43607.5,37553.33331055092,38103.5,37725.5,True,False,False
Descubra,2025-08-04,6m,39923.5,36909.09288621521,38103.5,37725.5,True,True,True
Gentebra,2026-01-11,2w,41652.5,41511.89134273841,41430.0,41749.5,True,True,True
Gentebra,2026-01-11,1m,41970.5,41618.25874653799,41430.0,41749.5,True,True,True
Gentebra,2026-01-11,3m,41012.0,41790.55365398376,41430.0,41749.5,True,True,True
Gentebra,2026-01-11,6m,41975.5,42025.83335319212,41430.0,41749.5,True,True,True
Gentebra,2025-12-02,2w,44811.0,45053.95331432223,45040.0,44329.5,True,True,True
Gentebra,2025-12-02,1m,43249.5,45042.77672937117,45040.0,44329.5,True,False,True
Gentebra,2025-12-02,3m,41130.0,44999.5251089351,45040.0,44329.5,True,False,False
Gentebra,2025-12-02,6m,41672.5,45015.11880291285,45040.0,44329.5,True,True,True
Gentebra,2025-10-23,2w,43888.5,44345.87569249032,44383.0,43533.0,True,True,True
