world,n_sell_orders,n_buy_orders,update_time,best_ask,ask_depth_tc,anon_sell,best_bid,bid_depth_tc,anon_buy,buy_orders_below_2000,buy_depth_below_2000,mid,quoted_spread_pct,order_count_ratio,depth_ratio
Etebra,13,25,1785252099.528272,40249,53900,0.9230769230769231,38906,111225,1.0,2,13550,39577.5,3.3933421767418355,1.9230769230769231,2.0635435992578848
Ferobra,15,59,1785565264.1439457,40741,119725,1.0,39752,235275,0.847457627118644,7,72875,40246.5,2.457356540320276,3.933333333333333,1.965128419294216
Firmera,11,43,1785604881.337021,41800,19050,1.0,38500,19200,1.0,0,0,40150.0,8.21917808219178,3.909090909090909,1.0078740157480315
Floribra,28,51,1785806555.9169977,17880,1275,1.0,16200,5375,0.9411764705882353,0,0,17040.0,9.859154929577464,1.8214285714285714,4.215686274509804
Gentebra,6,28,1785478875.3086486,44434,26900,1.0,43012,462925,0.8571428571428571,8,214525,43723.0,3.2522928435834686,4.666666666666667,17.20910780669145
Gladera,24,23,1785511312.9063623,43000,14525,1.0,41260,128750,0.9565217391304348,2,59075,42130.0,4.130073581770709,0.9583333333333334,8.864027538726335
Gladibra,4,63,1785781277.7059906,42000,1525,1.0,36002,17150,0.9523809523809523,1,25,39001.0,15.379092843773238,15.75,11.245901639344263
Harmonia,4,26,1785417677.4816918,44954,40000,1.0,42804,319275,1.0,6,14800,43879.0,4.899838191389959,6.5,7.981875
Havera,16,38,1785655309.8289666,41086,35500,1.0,39400,149425,1.0,1,37625,40243.0,4.189548492905598,2.375,4.209154929577465
Honbra,6,38,1785299114.8603036,40764,87725,0.8333333333333334,39304,378550,0.7368421052631579,11,214175,40034.0,3.6469001348853474,6.333333333333333,4.315189512681676
Hostera,5,32,1785514874.971768,28997,550,1.0,25300,11725,0.90625,0,0,27148.5,13.61769526861521,6.4,21.318181818181817
Idyllia,19,33,1785175344.0081372,30899,2200,1.0,28915,5775,0.9090909090909091,1,250,29907.0,6.6338984184304675,1.736842105263158,2.625
