world,side,amount,price,value,fee_uncapped,fee_actual,eff_rate_pct,dec
Antica,buyers,50,36600,1830000,36600.0,36600.0,2.0,0
Antica,buyers,25,36200,905000,18100.0,18100.0,2.0,0
Antica,buyers,15000,36001,540015000,10800300.0,1000000.0,0.1851800412951492,8
Antica,buyers,25,1650,41250,825.0,825.0,2.0,0
Antica,buyers,25,1500,37500,750.0,750.0,2.0,0
Antica,buyers,25,1001,25025,500.5,500.5,2.0,0
Antica,buyers,25,1000,25000,500.0,500.0,2.0,0
Antica,buyers,250,801,200250,4005.0,4005.0,2.0,4
Antica,buyers,250,800,200000,4000.0,4000.0,2.0,4
Antica,buyers,250,41,10250,205.0,205.0,2.0,4
Antica,buyers,39175,39,1527825,30556.5,30556.5,2.0,8
Antica,buyers,5000,8,40000,800.0,800.0,2.0,7
Antica,buyers,64000,2,128000,2560.0,2560.0,2.0,8
Antica,buyers,6375,1,6375,127.5,127.5,2.0,7
Antica,buyers,64000,1,64000,1280.0,1280.0,2.0,8
Antica,buyers,3175,1,3175,63.5,63.5,2.0,6
Antica,buyers,38175,1,38175,763.5,763.5,2.0,8
Antica,buyers,12925,1,12925,258.5,258.5,2.0,7
Antica,buyers,3025,1,3025,60.5,60.5,2.0,6
Antica,buyers,12325,1,12325,246.5,246.5,2.0,7
Antica,buyers,11000,1,11000,220.0,220.0,2.0,7
Antica,buyers,9000,1,9000,180.0,180.0,2.0,7
Antica,buyers,64000,1,64000,1280.0,1280.0,2.0,8
Astera,sellers,9875,43776,432288000,8645760.0,1000000.0,0.2313272633059442,7
Astera,sellers,26225,43777,1148051825,22961036.5,1000000.0,0.0871040817342893,8
Astera,sellers,300,43886,13165800,263316.0,263316.0,2.0,4
Astera,buyers,425,42010,17854250,357085.0,357085.0,2.0,5
Astera,buyers,38150,42009,1602643350,32052867.0,1000000.0,0.062396914447621805,8
Astera,buyers,5875,42005,246779375,4935587.5,1000000.0,0.40522024986893657,7
Astera,buyers,175,41953,7341775,146835.5,146835.5,2.0,3
Astera,buyers,50,41900,2095000,41900.0,41900.0,2.0,0
Astera,buyers,4225,41900,177027500,3540550.0,1000000.0,0.5648839869511799,7
Astera,buyers,300,41210,12363000,247260.0,247260.0,2.0,4
Astera,buyers,25,41205,1030125,20602.5,20602.5,2.0,0
Astera,buyers,75,41202,3090150,61803.0,61803.0,2.0,1
Astera,buyers,75,41200,3090000,61800.0,61800.0,2.0,1
Astera,buyers,100,41035,4103500,82070.0,82070.0,2.0,2
Astera,buyers,100,41027,4102700,82054.0,82054.0,2.0,2
Astera,buyers,3625,41012,148668500,2973370.0,1000000.0,0.6726374450539286,7
Astera,buyers,400,40660,16264000,325280.0,325280.0,2.0,5
Astera,buyers,25,40600,1015000,20300.0,20300.0,2.0,0
Astera,buyers,2250,40475,91068750,1821375.0,1000000.0,1.0980715119072129,6
Astera,buyers,25,40472,1011800,20236.0,20236.0,2.0,0
Astera,buyers,6000,40449,242694000,4853880.0,1000000.0,0.41204150081996255,7
Astera,buyers,3500,40356,141246000,2824920.0,1000000.0,0.7079846508927686,7
Astera,buyers,250,40352,10088000,201760.0,201760.0,2.0,4
Astera,buyers,25,40346,1008650,20173.0,20173.0,2.0,0
Astera,buyers,41575,44,1829300,36586.0,36586.0,2.0,8
Astera,buyers,625,1,625,12.5,20.0,3.2,5
Astera,buyers,16725,1,16725,334.5,334.5,2.0,8
Astera,buyers,18350,1,18350,367.0,367.0,2.0,8
Astera,buyers,14850,1,14850,297.0,297.0,2.0,8
Belobra,sellers,9200,43795,402914000,8058280.0,1000000.0,0.24819192184932765,7
Belobra,sellers,19525,43798,855155950,17103119.0,1000000.0,0.1169377351581311,8
Belobra,sellers,8275,44890,371464750,7429295.0,1000000.0,0.26920454767242386,7
Belobra,sellers,400,44902,17960800,359216.0,359216.0,2.0,5
Belobra,sellers,200,44909,8981800,179636.0,179636.0,2.0,3
Belobra,buyers,21650,43033,931664450,18633289.0,1000000.0,0.10733478131531154,8
Belobra,buyers,12075,43031,519599325,10391986.5,1000000.0,0.1924559851959007,7
Belobra,buyers,50,43030,2151500,43030.0,43030.0,2.0,0
Belobra,buyers,2350,43027,101113450,2022269.0,1000000.0,0.9889881118684014,6
Belobra,buyers,63700,43025,2740692500,54813850.0,1000000.0,0.0364871287092587,8
Belobra,buyers,25,43012,1075300,21506.0,21506.0,2.0,0
Belobra,buyers,3750,43000,161250000,3225000.0,1000000.0,0.6201550387596899,7
Belobra,buyers,700,42907,30034900,600698.0,600698.0,2.0,5
Belobra,buyers,225,42906,9653850,193077.0,193077.0,2.0,4
Belobra,buyers,950,42897,40752150,815043.0,815043.0,2.0,6
Belobra,buyers,75,42852,3213900,64278.0,64278.0,2.0,1
Belobra,buyers,50,42822,2141100,42822.0,42822.0,2.0,0
Belobra,buyers,2000,42812,85624000,1712480.0,1000000.0,1.1678968513500887,6
Belobra,buyers,875,42800,37450000,749000.0,749000.0,2.0,5
Belobra,buyers,4700,42800,201160000,4023200.0,1000000.0,0.49711672300656196,7
Belobra,buyers,24600,42721,1050936600,21018732.0,1000000.0,0.09515321856713335,8
Belobra,buyers,1800,42500,76500000,1530000.0,1000000.0,1.3071895424836601,6
Belobra,buyers,175,42041,7357175,147143.5,147143.5,2.0,3
Belobra,buyers,4650,41834,194528100,3890562.0,1000000.0,0.5140645490291634,7
Belobra,buyers,25,41810,1045250,20905.0,20905.0,2.0,0
Belobra,buyers,500,41801,20900500,418010.0,418010.0,2.0,5
Belobra,buyers,125,41797,5224625,104492.5,104492.5,2.0,3
Belobra,buyers,725,41775,30286875,605737.5,605737.5,2.0,5
Belobra,buyers,100,41717,4171700,83434.0,83434.0,2.0,2
Belobra,buyers,3000,41200,123600000,2472000.0,1000000.0,0.8090614886731391,6
Belobra,buyers,3375,41162,138921750,2778435.0,1000000.0,0.7198296882957492,6
Belobra,buyers,300,38899,11669700,233394.0,233394.0,2.0,4
Belobra,buyers,2500,36752,91880000,1837600.0,1000000.0,1.0883761427949499,6
Belobra,buyers,75,36705,2752875,55057.5,55057.5,2.0,1
Belobra,buyers,250,70,17500,350.0,350.0,2.0,4
Belobra,buyers,250,69,17250,345.0,345.0,2.0,4
Belobra,buyers,39575,68,2691100,53822.0,53822.0,2.0,8
Belobra,buyers,250,60,15000,300.0,300.0,2.0,4
Belobra,buyers,250,20,5000,100.0,100.0,2.0,4
Belobra,buyers,250,14,3500,70.0,70.0,2.0,4
Belobra,buyers,25,11,275,5.5,20.0,7.2727272727272725,0
Belobra,buyers,10000,4,40000,800.0,800.0,2.0,7
Belobra,buyers,64000,3,192000,3840.0,3840.0,2.0,8
Belobra,buyers,17750,2,35500,710.0,710.0,2.0,8
Belobra,buyers,7525,2,15050,301.0,301.0,2.0,7
Belobra,buyers,56600,1,56600,1132.0,1132.0,2.0,8
Belobra,buyers,64000,1,64000,1280.0,1280.0,2.0,8
Belobra,buyers,64000,1,64000,1280.0,1280.0,2.0,8
Belobra,buyers,55600,1,55600,1112.0,1112.0,2.0,8
Belobra,buyers,9350,1,9350,187.0,187.0,2.0,7
Belobra,buyers,44300,1,44300,886.0,886.0,2.0,8
Belobra,buyers,20000,1,20000,400.0,400.0,2.0,8
Belobra,buyers,7875,1,7875,157.5,157.5,2.0,7
Belobra,buyers,23225,1,23225,464.5,464.5,2.0,8
Belobra,buyers,62750,1,62750,1255.0,1255.0,2.0,8
Belobra,buyers,400,1,400,8.0,20.0,5.0,5
Belobra,buyers,64000,1,64000,1280.0,1280.0,2.0,8
Belobra,buyers,17975,1,17975,359.5,359.5,2.0,8
Belobra,buyers,24750,1,24750,495.0,495.0,2.0,8
Belobra,buyers,38375,1,38375,767.5,767.5,2.0,8
Blumera,sellers,6500,40649,264218500,5284370.0,1000000.0,0.3784746336838639,7
