scheme,target,horizon,fold,model,rmse,r2_oos,dir_acc,dm_t_vs_rw
rolling,rel,1,3,CatBoost,0.011560463969513423,0.024966193690181493,0.5641626233896604,4.563726146629834
rolling,rel,1,3,RandomForest,0.011581725330990202,0.021376439940547276,0.5681780157269534,3.7130795942584496
rolling,rel,1,4,OLS,0.012103906808295418,0.01688501782747054,0.5521403508771929,2.021335494741912
rolling,rel,1,4,CatBoost,0.012093447292423887,0.01858338910004731,0.5550877192982456,3.4009633107314103
rolling,rel,1,4,RandomForest,0.012068419544906797,0.022641327252886034,0.5563508771929825,4.102766780241648
rolling,rel,1,5,OLS,0.012219683960851869,0.023143890096095854,0.560505036175344,3.1934378396507386
rolling,rel,1,5,CatBoost,0.012218184306223666,0.023383643742518445,0.5553979287842247,4.08376767817239
rolling,rel,1,5,RandomForest,0.012207543894790179,0.025083908648189546,0.5494396368279189,4.597212786170832
rolling,ret,7,0,OLS,0.028372641265911908,-0.05067105214663359,0.6256448047162859,-0.7913316365659873
rolling,ret,7,0,CatBoost,0.024686929087175555,0.20457108919838674,0.6691230655858511,6.985249622488907
rolling,ret,7,0,RandomForest,0.02539125282077096,0.15853609325113627,0.6374355195283714,5.367536396935281
rolling,ret,7,1,OLS,0.4875784407726234,-614.3589020523655,0.5490867579908676,-44.06242527992682
rolling,ret,7,1,CatBoost,0.018721473296871943,0.09276552547098171,0.5976027397260274,7.91070666088026
rolling,ret,7,1,RandomForest,0.01884742435435077,0.08051739596896856,0.5976027397260274,6.884193203760552
rolling,ret,7,2,OLS,0.02273157968216604,-0.12556347102788146,0.5434900054024852,-5.723962402783817
rolling,ret,7,2,CatBoost,0.022019289662902702,-0.05612996565991146,0.5956239870340356,-2.1780606734466788
rolling,ret,7,2,RandomForest,0.02110386800290192,0.029858954321303366,0.5921123716909779,1.3945694443324173
rolling,ret,7,3,OLS,0.024634131918520114,-0.10741060371144684,0.5467625899280576,-5.956716578974611
rolling,ret,7,3,CatBoost,0.02134846715567087,0.1682983800797211,0.646478166304166,9.66259523843487
rolling,ret,7,3,RandomForest,0.021655844775673904,0.14417609759326133,0.6617031955830684,7.773576677929734
rolling,ret,7,4,OLS,0.025514428099018722,-0.1700254272747339,0.5751578947368421,-7.90935590700147
rolling,ret,7,4,CatBoost,0.022954061392366144,0.05301586889996335,0.5883508771929824,4.594764183103799
rolling,ret,7,4,RandomForest,0.023568910415886886,0.0016044535247968783,0.5803508771929825,0.1198586525790923
rolling,ret,7,5,OLS,0.025097828316099288,-0.15493127182234945,0.5358371988627861,-7.880550166598325
rolling,ret,7,5,CatBoost,0.022189095815354578,0.097259215849678,0.6003291934759838,10.86813809775884
rolling,ret,7,5,RandomForest,0.02230569220038686,0.08774707920876945,0.5976357923088433,9.447648687606524
rolling,rel,7,0,OLS,0.020461419328543073,-0.011305859177734412,0.5615327929255711,-0.49026835428979765
rolling,rel,7,0,CatBoost,0.020094395473546748,0.024649069831846226,0.5563743551952837,1.567891274986545
rolling,rel,7,0,RandomForest,0.020061671809625113,0.02782319544020495,0.5460574797347089,1.835765152523149
rolling,rel,7,1,OLS,0.10090480158236066,-29.368764130161672,0.5082762557077626,-22.929406344343192
rolling,rel,7,1,CatBoost,0.017730616886397092,0.062327574365661054,0.5916095890410958,7.129535221821713
rolling,rel,7,1,RandomForest,0.017487253241326578,0.08789118782831085,0.6044520547945206,11.335351573935327
rolling,rel,7,2,OLS,0.018822674491522712,-0.030685309979895603,0.5524041058887088,-1.9726128613446932
rolling,rel,7,2,CatBoost,0.018005589442991132,0.056855776633113475,0.5850891410048622,4.557942633835185
rolling,rel,7,2,RandomForest,0.018020169977655126,0.05532768282231815,0.5853592652620205,4.476732402422279
rolling,rel,7,3,OLS,0.02110887201900392,-0.11510608315259852,0.5531202944621048,-6.938436772390081
rolling,rel,7,3,CatBoost,0.019342211858932812,0.06373583107331149,0.5850761251463945,7.618757922983708
rolling,rel,7,3,RandomForest,0.01951166923307735,0.047258722230469674,0.569851095867492,6.523394037937729
rolling,rel,7,4,OLS,0.020459300601914643,0.009072163569399105,0.5720701754385965,0.733075100465848
rolling,rel,7,4,CatBoost,0.01993457510207797,0.05924956384555968,0.5832982456140351,4.765571560586896
rolling,rel,7,4,RandomForest,0.019988273746806843,0.05417445558181855,0.5817543859649122,5.73133655040003
rolling,rel,7,5,OLS,0.01941428788800067,0.029019037422253202,0.5849169534640132,2.497233910978194
rolling,rel,7,5,CatBoost,0.018994684780364878,0.07053730002716074,0.5906030225946431,7.15386987288427
rolling,rel,7,5,RandomForest,0.019037816932983863,0.06631135531289956,0.5850665868621876,7.598057762865137
rolling,ret,30,0,OLS,0.06158658664453509,-0.23536090395386577,0.7030213706705969,-1.18280866022758
