world,model,n_test,rmse,r2_oos,dm_t_vs_rw
Harmonia,MarkovSwitch,65,0.02334441832477972,-0.03258446894092648,-0.8309613469325492
Havera,RandomWalk,62,0.018355854638614926,0.0,
Havera,SARIMA,62,0.01872867610373378,-0.04103405886242317,-0.6780195514208235
Havera,SARIMAX,62,0.01878750573307739,-0.04758442422711906,-1.3267225497347443
Havera,MarkovSwitch,62,0.0238688002462782,-0.690876780133526,-2.744491814784551
Honbra,RandomWalk,65,0.024566977369080503,0.0,
Honbra,SARIMA,65,0.025311034856117434,-0.06149108793723035,-0.6643204225728107
Honbra,SARIMAX,65,0.024950938374312587,-0.03150257288329783,-0.29856951737080883
Honbra,MarkovSwitch,65,0.025218514380922756,-0.05374504629909094,-1.3766808708620666
Inabra,RandomWalk,65,0.01959113225752722,0.0,
Inabra,SARIMA,65,0.01986687084424274,-0.02834742238726884,-0.35457207549395925
Inabra,SARIMAX,65,0.020181295940426176,-0.06115549899449357,-1.9097237967668712
Inabra,MarkovSwitch,65,0.019872660626102698,-0.02894689020171315,-1.2931908445398095
Issobra,RandomWalk,63,0.021887229095282883,0.0,
Issobra,SARIMA,63,0.021891465486738135,-0.00038714827034835864,-0.014468056264034634
Issobra,SARIMAX,63,0.021778479332007866,0.009912592735026315,0.19444634216228174
Issobra,MarkovSwitch,63,0.023245837936376752,-0.1279993358090843,-1.242964724841932
Jadebra,RandomWalk,64,0.023652747501203393,0.0,
Jadebra,SARIMA,64,0.024442551858854897,-0.0678983102896431,-0.7155720329839129
Jadebra,SARIMAX,64,0.024234542240235878,-0.04979971492337665,-0.42688227130323325
Jadebra,MarkovSwitch,64,0.02526558715078924,-0.14102615458010104,-1.810145890088824
Kalanta,RandomWalk,64,0.02175810179502576,0.0,
Kalanta,SARIMA,64,0.02059076302666734,0.10442312211870641,2.0985998025636388
Kalanta,SARIMAX,64,0.027482023548774992,-0.5953479047978949,-2.950883216180226
Kalanta,MarkovSwitch,64,0.022972758142202874,-0.11476743165694869,-0.865193049036457
Kalibra,RandomWalk,65,0.02008765845300854,0.0,
Kalibra,SARIMA,65,0.02129567527912494,-0.12389101921656431,-4.324193591176728
Kalibra,SARIMAX,65,0.020374678574542834,-0.028780920251687325,-0.5974207210525025
Kalibra,MarkovSwitch,65,0.019888689730163802,0.019711936899045046,1.183726343486477
Karmeya,RandomWalk,63,0.01576649020214146,0.0,
Karmeya,SARIMA,63,0.015528426039610592,0.029970760690541942,0.7588212910597206
Karmeya,SARIMAX,63,0.01581959241829356,-0.006747429610834965,-0.09639409912238782
Karmeya,MarkovSwitch,63,0.017174031655187622,-0.18651837307557417,-1.2491267038275842
Lobera,RandomWalk,64,0.01704926746790813,0.0,
Lobera,SARIMA,64,0.017514842373471912,-0.05536094469669184,-0.6156160994624371
Lobera,SARIMAX,64,0.017248502110310086,-0.02350819502338175,-0.27132519287327794
Lobera,MarkovSwitch,64,0.025536382297549984,-1.243402992332813,-3.4377221834321374
Luminera,RandomWalk,65,0.03765828044417521,0.0,
Luminera,SARIMA,65,0.03758532487612191,0.0038708564813355606,0.2856878732050737
Luminera,SARIMAX,65,0.038852731378224856,-0.06444233809038358,-1.3121313039636886
Luminera,MarkovSwitch,65,0.03803804772931286,-0.020270823527194448,-0.773063382435585
Lutabra,RandomWalk,59,0.037178667686302916,0.0,
Lutabra,SARIMA,59,0.04144374235761933,-0.24259695540102166,-2.640485401233616
Lutabra,SARIMAX,59,0.04079882718591458,-0.20422520423802926,-3.2717977269693233
Lutabra,MarkovSwitch,59,0.03717608429106848,0.00013896708195071383,0.32037937485865564
Menera,RandomWalk,64,0.030350198504994298,0.0,
